timestamp,open,high,low,close,volume
2026-01-17 19:20:00,144.18,144.22,144.13,144.19,2840.515
2026-01-17 19:25:00,144.18,144.2,144.16,144.17,271.579
2026-01-17 19:30:00,144.17,144.38,144.12,144.37,4363.577
2026-01-17 19:35:00,144.37,144.55,144.36,144.45,6344.342
2026-01-17 19:40:00,144.46,144.5,144.37,144.39,3128.006
2026-01-17 19:45:00,144.39,144.42,144.33,144.36,1780.598
2026-01-17 19:50:00,144.36,144.4,144.24,144.25,1928.275
2026-01-17 19:55:00,144.24,144.28,144.21,144.27,1936.527
2026-01-17 20:00:00,144.26,144.27,144.19,144.25,2150.042
2026-01-17 20:05:00,144.25,144.26,144.19,144.23,610.241
2026-01-17 20:10:00,144.23,144.31,144.23,144.25,1318.989
2026-01-17 20:15:00,144.25,144.46,144.25,144.46,1659.664
2026-01-17 20:20:00,144.47,144.55,144.46,144.51,1834.181
2026-01-17 20:25:00,144.51,144.52,144.42,144.43,1493.015
2026-01-17 20:30:00,144.42,144.45,144.39,144.44,3064.825
2026-01-17 20:35:00,144.44,144.44,144.39,144.4,1407.672
2026-01-17 20:40:00,144.4,144.43,144.4,144.42,430.81
2026-01-17 20:45:00,144.43,144.53,144.42,144.52,2668.086
2026-01-17 20:50:00,144.52,144.58,144.52,144.53,1333.444
2026-01-17 20:55:00,144.53,144.53,144.45,144.51,1894.184
2026-01-17 21:00:00,144.51,144.58,144.5,144.55,1653.112
2026-01-17 21:05:00,144.55,144.55,144.45,144.5,4438.102
2026-01-17 21:10:00,144.5,144.51,144.4,144.4,2231.185
2026-01-17 21:15:00,144.4,144.5,144.38,144.38,1805.878
2026-01-17 21:20:00,144.39,144.43,144.32,144.4,2187.819
2026-01-17 21:25:00,144.4,144.46,144.4,144.45,2316.764
2026-01-17 21:30:00,144.44,144.44,144.25,144.41,2072.251
2026-01-17 21:35:00,144.41,144.48,144.3,144.31,3403.685
2026-01-17 21:40:00,144.3,144.33,144.27,144.3,1823.766
2026-01-17 21:45:00,144.3,144.39,144.3,144.39,1887.824
2026-01-17 21:50:00,144.38,144.38,144.22,144.22,2639.66
2026-01-17 21:55:00,144.22,144.27,144.22,144.26,441.132
2026-01-17 22:00:00,144.25,144.26,144.06,144.14,2545.353
2026-01-17 22:05:00,144.15,144.18,144.02,144.03,1469.495
2026-01-17 22:10:00,144.03,144.03,143.8,143.9,3309.991
2026-01-17 22:15:00,143.91,144.04,143.9,143.99,1063.954
2026-01-17 22:20:00,143.99,143.99,143.89,143.89,1893.49
2026-01-17 22:25:00,143.9,143.9,143.71,143.81,2399.895
2026-01-17 22:30:00,143.8,143.87,143.68,143.8,2529.523
2026-01-17 22:35:00,143.8,143.8,143.51,143.53,5754.611
2026-01-17 22:40:00,143.54,143.82,143.54,143.69,2905.834
2026-01-17 22:45:00,143.68,143.69,143.53,143.68,2562.76
2026-01-17 22:50:00,143.68,143.74,143.67,143.73,2132.24
2026-01-17 22:55:00,143.74,143.97,143.73,143.76,2220.903
2026-01-17 23:00:00,143.76,143.95,143.71,143.86,5065.817
2026-01-17 23:05:00,143.87,144.1,143.83,143.9,11017.446
2026-01-17 23:10:00,143.89,143.95,143.89,143.93,1224.046
2026-01-17 23:15:00,143.94,143.94,143.78,143.78,1713.525
2026-01-17 23:20:00,143.78,143.79,143.65,143.66,2240.403
2026-01-17 23:25:00,143.65,143.74,143.65,143.69,1675.68
2026-01-17 23:30:00,143.69,143.87,143.68,143.85,1795.769
2026-01-17 23:35:00,143.85,143.9,143.77,143.78,3093.193
2026-01-17 23:40:00,143.77,143.87,143.77,143.86,609.527
2026-01-17 23:45:00,143.86,143.86,143.7,143.71,1535.353
2026-01-17 23:50:00,143.71,143.86,143.69,143.7,1865.714
2026-01-17 23:55:00,143.7,143.83,143.69,143.72,2796.096
2026-01-18 00:00:00,143.73,143.82,143.65,143.67,2266.395
2026-01-18 00:05:00,143.67,143.91,143.67,143.91,2253.202
2026-01-18 00:10:00,143.91,143.93,143.68,143.72,2137.355
2026-01-18 00:15:00,143.71,143.84,143.7,143.81,2174.066
2026-01-18 00:20:00,143.82,143.83,143.6,143.71,2694.77
2026-01-18 00:25:00,143.72,143.75,143.64,143.73,1366.609
2026-01-18 00:30:00,143.72,143.87,143.72,143.86,1105.073
2026-01-18 00:35:00,143.87,144.0,143.73,143.74,2088.579
2026-01-18 00:40:00,143.74,143.74,143.56,143.56,1947.189
2026-01-18 00:45:00,143.56,143.56,143.34,143.54,6577.083
2026-01-18 00:50:00,143.54,143.54,143.19,143.27,6130.246
2026-01-18 00:55:00,143.26,143.41,143.07,143.23,58797.341
2026-01-18 01:00:00,143.23,143.41,143.03,143.24,7091.882
2026-01-18 01:05:00,143.23,143.23,142.85,142.87,13178.779
2026-01-18 01:10:00,142.86,142.91,142.08,142.43,54129.504
2026-01-18 01:15:00,142.43,142.47,142.11,142.45,20447.073
2026-01-18 01:20:00,142.46,142.63,142.43,142.61,8073.587
2026-01-18 01:25:00,142.62,142.65,142.48,142.58,6306.834
2026-01-18 01:30:00,142.59,142.81,142.5,142.66,8449.307
2026-01-18 01:35:00,142.67,142.76,142.59,142.75,3676.823
2026-01-18 01:40:00,142.74,142.75,142.63,142.64,2710.061
2026-01-18 01:45:00,142.64,142.79,142.63,142.75,4584.482
2026-01-18 01:50:00,142.75,142.82,142.59,142.64,2468.328
2026-01-18 01:55:00,142.63,142.78,142.62,142.77,3059.43
2026-01-18 02:00:00,142.76,142.89,142.73,142.85,2089.973
2026-01-18 02:05:00,142.86,142.86,142.7,142.85,2854.229
2026-01-18 02:10:00,142.86,142.86,142.77,142.81,1603.897
2026-01-18 02:15:00,142.81,143.04,142.8,142.91,3883.868
2026-01-18 02:20:00,142.91,142.92,142.62,142.62,4535.947
2026-01-18 02:25:00,142.62,142.62,142.46,142.51,3847.81
2026-01-18 02:30:00,142.5,142.51,142.31,142.42,4572.453
2026-01-18 02:35:00,142.43,142.53,141.95,142.29,28121.95
2026-01-18 02:40:00,142.29,142.34,142.06,142.29,14003.765
2026-01-18 02:45:00,142.28,142.42,142.18,142.4,2669.173
2026-01-18 02:50:00,142.39,142.4,142.23,142.35,13536.023
2026-01-18 02:55:00,142.35,142.57,142.34,142.54,4039.289
2026-01-18 03:00:00,142.55,142.68,142.51,142.62,4024.136
2026-01-18 03:05:00,142.62,142.62,142.36,142.6,3928.243
2026-01-18 03:10:00,142.6,142.67,142.41,142.5,4244.012
2026-01-18 03:15:00,142.51,142.62,142.5,142.6,5517.206
2026-01-18 03:20:00,142.61,142.63,142.42,142.46,4614.905
2026-01-18 03:25:00,142.47,142.72,142.47,142.69,3993.263
2026-01-18 03:30:00,142.7,142.95,142.69,142.83,6034.077
2026-01-18 03:35:00,142.83,142.86,142.79,142.85,1459.697
2026-01-18 03:40:00,142.85,142.88,142.81,142.87,1676.193
2026-01-18 03:45:00,142.86,142.87,142.73,142.82,1774.675
2026-01-18 03:50:00,142.82,142.9,142.8,142.81,2017.262
2026-01-18 03:55:00,142.81,142.84,142.73,142.83,2068.696
2026-01-18 04:00:00,142.82,142.85,142.74,142.78,878.885
2026-01-18 04:05:00,142.78,142.89,142.76,142.84,1488.881
2026-01-18 04:10:00,142.84,142.84,142.6,142.69,5263.429
2026-01-18 04:15:00,142.68,142.77,142.54,142.7,5191.09
2026-01-18 04:20:00,142.7,142.84,142.69,142.76,3477.439
2026-01-18 04:25:00,142.76,142.79,142.68,142.79,1077.83
2026-01-18 04:30:00,142.78,142.84,142.65,142.67,1759.247
2026-01-18 04:35:00,142.68,142.75,142.64,142.75,1045.028
2026-01-18 04:40:00,142.74,142.77,142.67,142.71,1365.019
2026-01-18 04:45:00,142.72,142.86,142.72,142.86,2622.552
2026-01-18 04:50:00,142.86,142.94,142.85,142.85,1351.051
2026-01-18 04:55:00,142.86,142.92,142.83,142.83,1617.32
2026-01-18 05:00:00,142.83,142.84,142.73,142.76,1248.614
2026-01-18 05:05:00,142.76,142.81,142.72,142.73,1581.131
2026-01-18 05:10:00,142.72,142.84,142.72,142.84,964.304
2026-01-18 05:15:00,142.84,142.86,142.77,142.82,1793.357
2026-01-18 05:20:00,142.82,143.0,142.82,142.88,23556.32
2026-01-18 05:25:00,142.87,142.9,142.8,142.9,2270.343
2026-01-18 05:30:00,142.89,142.89,142.72,142.76,2164.467
2026-01-18 05:35:00,142.77,142.78,142.54,142.69,3926.5
2026-01-18 05:40:00,142.68,142.78,142.63,142.77,1730.586
2026-01-18 05:45:00,142.78,142.9,142.77,142.82,2654.995
2026-01-18 05:50:00,142.81,142.92,142.66,142.91,24777.893
2026-01-18 05:55:00,142.91,142.97,142.84,142.84,2482.3
2026-01-18 06:00:00,142.85,142.86,142.7,142.82,2676.771
2026-01-18 06:05:00,142.82,143.04,142.82,142.99,23210.411
2026-01-18 06:10:00,142.99,143.0,142.87,142.89,5628.958
2026-01-18 06:15:00,142.9,142.9,142.7,142.7,4623.806
2026-01-18 06:20:00,142.7,142.71,142.64,142.66,1886.154
2026-01-18 06:25:00,142.66,142.66,142.64,142.65,1246.61
2026-01-18 06:30:00,142.65,142.69,142.6,142.69,2071.172
2026-01-18 06:35:00,142.69,142.7,142.61,142.66,3091.515
2026-01-18 06:40:00,142.67,142.75,142.66,142.69,1577.766
2026-01-18 06:45:00,142.69,142.8,142.61,142.69,24773.278
2026-01-18 06:50:00,142.69,142.71,142.55,142.56,2610.999
2026-01-18 06:55:00,142.56,142.71,142.56,142.7,1854.836
2026-01-18 07:00:00,142.71,142.71,142.63,142.69,1912.609
2026-01-18 07:05:00,142.7,142.72,142.54,142.55,4940.537
2026-01-18 07:10:00,142.54,142.55,142.19,142.34,21324.355
2026-01-18 07:15:00,142.34,142.42,142.31,142.42,3443.796
2026-01-18 07:20:00,142.42,142.51,142.39,142.51,2518.006
2026-01-18 07:25:00,142.51,142.55,142.49,142.52,1706.804
2026-01-18 07:30:00,142.53,142.53,142.21,142.21,4343.012
2026-01-18 07:35:00,142.22,142.27,142.1,142.27,6304.815
2026-01-18 07:40:00,142.27,142.31,142.24,142.31,1730.462
2026-01-18 07:45:00,142.3,142.34,142.21,142.28,5123.016
2026-01-18 07:50:00,142.27,142.3,142.23,142.26,3218.378
2026-01-18 07:55:00,142.25,142.26,142.03,142.11,7834.855
2026-01-18 08:00:00,142.12,142.23,142.05,142.07,5245.591
2026-01-18 08:05:00,142.07,142.07,141.93,142.0,16561.467
2026-01-18 08:10:00,142.01,142.12,142.01,142.11,4117.384
2026-01-18 08:15:00,142.11,142.15,141.97,142.03,7629.067
2026-01-18 08:20:00,142.03,142.18,142.0,142.15,2735.889
2026-01-18 08:25:00,142.14,142.3,142.14,142.22,2698.504
2026-01-18 08:30:00,142.22,142.32,142.18,142.25,2513.76
2026-01-18 08:35:00,142.25,142.41,142.17,142.41,3410.958
2026-01-18 08:40:00,142.41,142.46,142.35,142.39,3539.672
2026-01-18 08:45:00,142.38,142.42,142.3,142.39,3394.78
2026-01-18 08:50:00,142.39,142.45,142.37,142.45,3628.008
2026-01-18 08:55:00,142.45,142.46,142.39,142.43,2015.314
2026-01-18 09:00:00,142.43,142.49,142.4,142.48,2025.843
2026-01-18 09:05:00,142.48,142.51,142.32,142.51,3282.712
2026-01-18 09:10:00,142.52,142.55,142.4,142.49,3092.42
2026-01-18 09:15:00,142.49,142.53,142.45,142.52,3310.597
2026-01-18 09:20:00,142.52,142.58,142.46,142.52,2553.301
2026-01-18 09:25:00,142.51,142.52,142.38,142.47,3211.821
2026-01-18 09:30:00,142.48,142.65,142.46,142.64,3635.065
2026-01-18 09:35:00,142.64,142.64,142.56,142.58,3248.69
2026-01-18 09:40:00,142.58,142.59,142.44,142.45,3255.669
2026-01-18 09:45:00,142.44,142.45,142.4,142.42,2085.622
2026-01-18 09:50:00,142.43,142.56,142.42,142.52,3798.228
2026-01-18 09:55:00,142.52,142.57,142.5,142.54,1431.171
2026-01-18 10:00:00,142.53,142.55,142.25,142.26,3904.326
2026-01-18 10:05:00,142.26,142.4,142.2,142.33,12354.273
2026-01-18 10:10:00,142.33,142.33,142.2,142.28,2485.337
2026-01-18 10:15:00,142.28,142.3,142.17,142.23,1389.084
2026-01-18 10:20:00,142.22,142.33,142.22,142.28,2198.153
2026-01-18 10:25:00,142.28,142.28,142.21,142.23,3884.891
2026-01-18 10:30:00,142.22,142.33,142.2,142.33,6261.305
2026-01-18 10:35:00,142.33,142.38,142.23,142.32,2348.692
2026-01-18 10:40:00,142.33,142.47,142.32,142.46,4607.648
2026-01-18 10:45:00,142.46,142.52,142.37,142.4,2033.365
2026-01-18 10:50:00,142.4,142.49,142.38,142.49,1674.78
2026-01-18 10:55:00,142.48,142.49,142.42,142.43,1560.319
2026-01-18 11:00:00,142.42,142.42,142.25,142.27,2845.821
2026-01-18 11:05:00,142.26,142.32,142.22,142.31,1893.348
2026-01-18 11:10:00,142.32,142.36,142.25,142.36,1038.205
2026-01-18 11:15:00,142.35,142.4,142.28,142.32,2355.501
2026-01-18 11:20:00,142.31,142.36,142.26,142.27,1811.753
2026-01-18 11:25:00,142.27,142.31,142.24,142.24,1366.357
2026-01-18 11:30:00,142.24,142.3,142.19,142.3,2188.99
2026-01-18 11:35:00,142.3,142.3,142.21,142.29,2050.552
2026-01-18 11:40:00,142.3,142.49,142.29,142.4,2693.662
2026-01-18 11:45:00,142.4,142.49,142.27,142.43,3535.982
2026-01-18 11:50:00,142.43,142.46,142.39,142.44,1317.507
2026-01-18 11:55:00,142.43,142.46,142.33,142.39,1767.512
2026-01-18 12:00:00,142.39,142.4,142.25,142.26,2136.773
2026-01-18 12:05:00,142.26,142.26,142.17,142.23,2910.549
2026-01-18 12:10:00,142.23,142.27,142.21,142.24,2111.404
2026-01-18 12:15:00,142.25,142.28,142.19,142.27,3217.631
2026-01-18 12:20:00,142.27,142.31,142.26,142.3,1283.122
2026-01-18 12:25:00,142.31,142.41,142.3,142.4,1648.834
2026-01-18 12:30:00,142.4,142.4,142.28,142.29,3261.179
2026-01-18 12:35:00,142.29,142.45,142.28,142.45,6097.619
2026-01-18 12:40:00,142.45,142.53,142.4,142.4,3590.228
2026-01-18 12:45:00,142.4,142.44,142.4,142.4,1559.425
2026-01-18 12:50:00,142.41,142.41,142.26,142.29,5199.977
2026-01-18 12:55:00,142.28,142.31,142.21,142.24,2974.603
2026-01-18 13:00:00,142.24,142.25,142.18,142.24,2537.441
2026-01-18 13:05:00,142.24,142.27,142.0,142.13,5446.497
2026-01-18 13:10:00,142.14,142.19,142.12,142.17,3130.045
2026-01-18 13:15:00,142.18,142.26,142.08,142.12,3837.285
2026-01-18 13:20:00,142.11,142.2,142.08,142.17,6951.031
2026-01-18 13:25:00,142.17,142.17,142.04,142.07,3832.541
2026-01-18 13:30:00,142.08,142.12,142.03,142.09,3586.4
2026-01-18 13:35:00,142.09,142.23,142.09,142.14,2765.955
2026-01-18 13:40:00,142.13,142.45,142.13,142.44,7821.007
2026-01-18 13:45:00,142.44,142.5,142.37,142.46,8323.2
2026-01-18 13:50:00,142.47,142.47,142.38,142.41,4662.992
2026-01-18 13:55:00,142.41,142.43,142.35,142.38,2998.346
2026-01-18 14:00:00,142.37,142.37,142.15,142.16,3814.365
2026-01-18 14:05:00,142.15,142.26,142.13,142.22,2435.314
2026-01-18 14:10:00,142.23,142.4,142.22,142.35,4155.658
2026-01-18 14:15:00,142.35,142.73,142.33,142.6,15677.372
2026-01-18 14:20:00,142.61,142.65,142.48,142.54,5142.855
2026-01-18 14:25:00,142.54,142.54,142.28,142.45,6485.552
2026-01-18 14:30:00,142.46,142.63,142.46,142.55,5226.477
2026-01-18 14:35:00,142.55,142.61,142.24,142.31,7353.51
2026-01-18 14:40:00,142.3,142.37,142.21,142.22,5065.689
2026-01-18 14:45:00,142.22,142.24,142.0,142.14,9181.85
2026-01-18 14:50:00,142.14,142.17,142.1,142.14,1755.355
2026-01-18 14:55:00,142.13,142.14,141.62,141.72,22146.843
2026-01-18 15:00:00,141.73,141.88,141.5,141.87,12853.508
2026-01-18 15:05:00,141.87,141.89,141.71,141.82,6598.418
2026-01-18 15:10:00,141.82,141.9,141.8,141.85,4492.445
2026-01-18 15:15:00,141.85,142.05,141.81,142.05,2613.907
2026-01-18 15:20:00,142.04,142.13,141.98,142.09,3610.043
2026-01-18 15:25:00,142.08,142.13,142.02,142.05,3740.462
2026-01-18 15:30:00,142.05,142.09,141.91,141.93,4155.373
2026-01-18 15:35:00,141.94,142.03,141.9,142.02,3808.114
2026-01-18 15:40:00,142.02,142.12,142.0,142.0,2442.576
2026-01-18 15:45:00,142.01,142.05,141.95,141.98,2270.608
2026-01-18 15:50:00,141.99,142.0,141.79,142.0,7368.866
2026-01-18 15:55:00,142.0,142.01,141.98,142.0,1206.915
2026-01-18 16:00:00,141.99,141.99,141.75,141.96,3981.232
2026-01-18 16:05:00,141.95,142.17,141.93,142.12,2638.762
2026-01-18 16:10:00,142.13,142.16,142.04,142.11,1810.622
2026-01-18 16:15:00,142.11,142.16,142.08,142.09,2386.146
2026-01-18 16:20:00,142.08,142.23,142.08,142.14,3087.338
2026-01-18 16:25:00,142.14,142.15,141.98,142.0,3585.237
2026-01-18 16:30:00,141.99,142.13,141.95,142.08,1924.014
2026-01-18 16:35:00,142.08,142.18,141.98,141.98,3104.672
2026-01-18 16:40:00,141.98,142.15,141.98,142.14,1470.19
2026-01-18 16:45:00,142.14,142.15,142.01,142.02,1352.988
2026-01-18 16:50:00,142.01,142.14,141.97,142.11,2230.229
2026-01-18 16:55:00,142.11,142.14,142.0,142.03,2006.235
2026-01-18 17:00:00,142.02,142.06,141.95,142.03,3286.763
2026-01-18 17:05:00,142.03,142.14,141.99,141.99,2502.531
2026-01-18 17:10:00,142.0,142.01,141.85,141.88,5420.85
2026-01-18 17:15:00,141.88,141.99,141.87,141.99,2898.018
2026-01-18 17:20:00,141.99,142.1,141.98,142.05,2190.765
2026-01-18 17:25:00,142.06,142.12,142.06,142.09,1691.626
2026-01-18 17:30:00,142.09,142.52,142.06,142.27,62011.441
2026-01-18 17:35:00,142.28,142.3,142.12,142.14,8681.563
2026-01-18 17:40:00,142.14,142.15,142.03,142.15,3486.389
2026-01-18 17:45:00,142.14,142.19,142.14,142.16,2329.046
2026-01-18 17:50:00,142.15,142.18,142.12,142.17,3279.547
2026-01-18 17:55:00,142.18,142.44,142.17,142.36,12750.276
2026-01-18 18:00:00,142.35,142.36,142.17,142.2,5788.612
2026-01-18 18:05:00,142.19,142.22,142.17,142.18,941.753
2026-01-18 18:10:00,142.17,142.22,142.08,142.22,2864.443
2026-01-18 18:15:00,142.22,142.23,142.12,142.17,2008.439
2026-01-18 18:20:00,142.16,142.28,142.16,142.28,1446.706
2026-01-18 18:25:00,142.27,142.7,142.26,142.63,10867.978
2026-01-18 18:30:00,142.62,142.73,142.49,142.65,10230.634
2026-01-18 18:35:00,142.65,142.68,142.47,142.56,3692.347
2026-01-18 18:40:00,142.56,142.64,142.49,142.56,4690.725
2026-01-18 18:45:00,142.56,142.83,142.52,142.8,11833.975
2026-01-18 18:50:00,142.81,142.94,142.68,142.83,33559.586
2026-01-18 18:55:00,142.83,142.97,142.72,142.76,11443.93
2026-01-18 19:00:00,142.76,143.22,142.76,143.22,8177.462
2026-01-18 19:05:00,143.22,143.25,142.93,142.94,9082.221
2026-01-18 19:10:00,142.94,142.99,142.89,142.92,5416.3
2026-01-18 19:15:00,142.92,142.96,142.78,142.86,8031.395
2026-01-18 19:20:00,142.86,142.89,142.76,142.85,12736.445
2026-01-18 19:25:00,142.86,142.88,142.81,142.85,5621.786
2026-01-18 19:30:00,142.84,142.84,142.57,142.65,14264.818
2026-01-18 19:35:00,142.66,142.71,142.65,142.7,3188.588
2026-01-18 19:40:00,142.71,142.76,142.66,142.67,2331.262
2026-01-18 19:45:00,142.68,142.68,142.27,142.32,7569.636
2026-01-18 19:50:00,142.31,142.34,142.14,142.24,6559.605
2026-01-18 19:55:00,142.25,142.27,142.1,142.27,4392.147
2026-01-18 20:00:00,142.28,142.35,142.2,142.26,3185.303
2026-01-18 20:05:00,142.26,142.32,141.95,141.96,8129.009
2026-01-18 20:10:00,141.96,142.1,141.94,142.1,2039.105
2026-01-18 20:15:00,142.1,142.22,142.05,142.17,4743.346
2026-01-18 20:20:00,142.17,142.43,142.12,142.36,4706.976
2026-01-18 20:25:00,142.36,142.53,142.36,142.53,2782.431
